case,iou,dice
malignant (5),0.5831618905067444,0.7367053031921387
benign (225),0.8158066868782043,0.8985611796379089
benign (47),0.7805555462837219,0.8767550587654114
malignant (47),0.8143046498298645,0.8976492881774902
malignant (34),0.7750312685966492,0.8732593059539795
benign (365),0.8914006948471069,0.9425826072692871
benign (221),0.8914473652839661,0.9426087141036987
benign (69),0.7982906103134155,0.8878327012062073
malignant (54),0.8565755486488342,0.9227478504180908
benign (110),0.9177516102790833,0.9571120738983154
benign (75),0.9154579639434814,0.9558632373809814
malignant (137),0.636686384677887,0.7780187726020813
benign (290),0.9031314253807068,0.9491004347801208
benign (96),0.8609110116958618,0.9252576231956482
benign (383),0.8170539140701294,0.89931720495224
malignant (117),0.7178337574005127,0.8357429504394531
benign (349),0.776450514793396,0.8741594552993774
benign (219),0.5197680592536926,0.6840097308158875
malignant (197),0.4167780876159668,0.5883463025093079
benign (291),0.8592105507850647,0.9242745637893677
benign (59),0.8512979745864868,0.9196768999099731
malignant (114),0.8134126663208008,0.8971070647239685
benign (14),0.7087198495864868,0.8295331001281738
benign (412),0.8915880918502808,0.9426873326301575
benign (100),0.8829619884490967,0.9378436803817749
benign (203),0.9109238982200623,0.9533858299255371
malignant (99),0.47173744440078735,0.6410619616508484
malignant (145),0.8225508332252502,0.9026369452476501
benign (196),0.6927547454833984,0.8184939622879028
benign (20),0.7410620450973511,0.8512758612632751
malignant (195),0.8524112701416016,0.9203261733055115
benign (186),0.94004887342453,0.9690981507301331
benign (139),0.9145638346672058,0.955375611782074
benign (107),0.8854860067367554,0.9392655491828918
benign (210),0.11230037361383438,0.20192454755306244
benign (252),0.9098286628723145,0.9527856707572937
malignant (125),0.7159709334373474,0.8344790935516357
benign (268),0.892110288143158,0.9429791569709778
benign (88),0.42569684982299805,0.5971772074699402
malignant (190),0.8723884224891663,0.9318455457687378
benign (67),0.672675609588623,0.8043108582496643
benign (51),0.8026100993156433,0.8904977440834045
benign (171),0.8655462265014648,0.9279279112815857
benign (155),0.8728428483009338,0.932104766368866
malignant (138),0.49754348397254944,0.6644794940948486
malignant (52),0.7519865036010742,0.8584386706352234
benign (256),0.3702232837677002,0.5403838753700256
benign (261),0.9290082454681396,0.9631978273391724
benign (300),0.8808290362358093,0.936639130115509
benign (208),0.8723134994506836,0.9318028092384338
benign (258),0.9200968742370605,0.9583858847618103
benign (31),0.8999999761581421,0.9473684430122375
malignant (132),0.916424036026001,0.9563896059989929
benign (329),0.8514644503593445,0.9197739958763123
malignant (143),0.7186791896820068,0.8363156914710999
benign (206),0.8048076629638672,0.8918486833572388
benign (133),0.7611464858055115,0.8643761277198792
benign (86),0.804347813129425,0.891566276550293
malignant (46),0.6849247217178345,0.8130033612251282
benign (13),0.953977644443512,0.976446807384491
benign (321),0.24720498919487,0.3964143395423889
benign (28),0.8817106485366821,0.9371373057365417
benign (336),0.6714739203453064,0.8034512400627136
benign (65),0.9206908941268921,0.9587080478668213
benign (136),0.8848921060562134,0.9389312863349915
malignant (100),0.7290084958076477,0.8432676792144775
benign (232),0.922636091709137,0.9597615599632263
malignant (184),0.6943263411521912,0.8195898532867432
malignant (33),0.6234459280967712,0.7680525779724121
benign (227),0.8736616969108582,0.9325714111328125
benign (361),0.8763431310653687,0.9340968728065491
benign (433),0.8291139006614685,0.9065743684768677
benign (417),0.8016457557678223,0.8899038434028625
malignant (9),0.8508837223052979,0.9194350838661194
benign (109),0.721367359161377,0.838132917881012
benign (70),0.8828451633453369,0.9377777576446533
benign (162),0.6741071343421936,0.8053333163261414
benign (323),0.9103162288665771,0.9530529379844666
malignant (159),0.6489495635032654,0.7871066331863403
benign (354),0.824409008026123,0.9037545919418335
benign (125),0.9175392389297485,0.9569965600967407
benign (199),0.060098521411418915,0.11338289827108383
benign (347),0.8227611780166626,0.9027635455131531
benign (68),0.9450743794441223,0.9717617034912109
benign (255),0.7466624975204468,0.8549591302871704
benign (53),0.887778639793396,0.9405537247657776
benign (185),0.8392857313156128,0.9126213788986206
benign (386),0.8969773054122925,0.9456911683082581
malignant (60),0.5428687334060669,0.7037134170532227
benign (135),0.8557103276252747,0.9222455620765686
benign (113),0.9267113208770752,0.9619617462158203
benign (21),0.8656429648399353,0.9279835224151611
malignant (38),0.7757648825645447,0.8737247586250305
benign (167),0.8664772510528564,0.9284626841545105
malignant (160),0.6796904802322388,0.809304416179657
malignant (18),0.08767522126436234,0.16121581196784973
benign (126),0.8070776462554932,0.8932406902313232
malignant (89),0.7388500571250916,0.8498145937919617
benign (262),0.7678393125534058,0.8686754703521729
benign (17),0.9131419658660889,0.9545992612838745
malignant (4),0.6082802414894104,0.7564356327056885
benign (180),0.9203488230705261,0.9585225582122803
benign (172),0.8164222836494446,0.8989344239234924
benign (223),0.7212435007095337,0.8380493521690369
benign (355),0.9507579803466797,0.9747574925422668
benign (391),0.4537917375564575,0.6242871284484863
benign (393),0.7776336073875427,0.8749087452888489
benign (34),0.9256627559661865,0.9613965153694153
benign (281),0.9009820222854614,0.9479121565818787
benign (189),0.9233279228210449,0.9601356983184814
benign (319),0.9184383749961853,0.9574853777885437
malignant (201),0.7648375034332275,0.8667511940002441
benign (41),0.7555198073387146,0.8607363104820251
benign (379),0.615047037601471,0.7616459727287292
benign (163),0.44979366660118103,0.6204933524131775
benign (81),0.800000011920929,0.8888888955116272
benign (91),0.7924944758415222,0.8842364549636841
malignant (141),0.8196945190429688,0.9009144306182861
