case,iou,dice
malignant (176),0.4285806715488434,0.6000090837478638
malignant (194),0.3502805531024933,0.5188263058662415
benign (405),0.48104971647262573,0.6496064066886902
benign (213),0.8606230020523071,0.9250912070274353
malignant (118),0.7351115345954895,0.8473363518714905
malignant (62),0.801876425743103,0.8900460004806519
malignant (127),0.9014544486999512,0.9481735825538635
benign (44),0.92580646276474,0.9614740610122681
malignant (21),0.1853046417236328,0.3126700520515442
malignant (164),0.7796860933303833,0.8762063384056091
malignant (204),0.512635350227356,0.6778042912483215
benign (352),0.8993630409240723,0.9470154047012329
benign (195),0.8475589156150818,0.917490541934967
benign (337),0.7947932481765747,0.8856655359268188
benign (314),0.09864804893732071,0.17958079278469086
benign (313),4.008016141199278e-09,4.008016141199278e-09
malignant (162),0.8782017230987549,0.9351516366004944
malignant (65),0.7219387888908386,0.838518500328064
benign (191),0.8277727961540222,0.9057720899581909
malignant (144),0.8215078711509705,0.902008593082428
benign (435),0.8823529481887817,0.9375
malignant (25),0.7072561979293823,0.8285296559333801
malignant (187),0.5274034738540649,0.6905882954597473
malignant (152),0.11196640878915787,0.2013845145702362
benign (101),0.9043639898300171,0.9497805833816528
malignant (167),0.898267388343811,0.9464076161384583
malignant (5),0.6195829510688782,0.7651141881942749
benign (225),0.832504153251648,0.9085972905158997
benign (47),0.7759103775024414,0.8738170266151428
malignant (47),0.8493083715438843,0.918514609336853
malignant (34),0.7776729464530945,0.874933660030365
benign (365),0.89175945520401,0.9427831172943115
benign (221),0.8887042999267578,0.9410730004310608
benign (69),0.7982906103134155,0.8878327012062073
malignant (54),0.8646848797798157,0.9274327158927917
benign (110),0.9109154343605042,0.9533811807632446
benign (75),0.9179850220680237,0.9572389721870422
malignant (137),0.6867738366127014,0.8143045902252197
benign (290),0.9005968570709229,0.9476990103721619
benign (96),0.8660117983818054,0.9281954169273376
benign (383),0.7059676051139832,0.8276448249816895
malignant (117),0.5745012760162354,0.7297565340995789
benign (349),0.8486897945404053,0.9181527495384216
benign (219),0.5843930840492249,0.7376869916915894
malignant (197),0.43793076276779175,0.6091124415397644
benign (291),0.8578947186470032,0.9235127568244934
benign (59),0.8520509004592896,0.9201160669326782
malignant (114),0.8181185126304626,0.8999617099761963
benign (14),0.7204910516738892,0.8375411629676819
benign (412),0.8459802269935608,0.9165647625923157
benign (100),0.8793103694915771,0.9357798099517822
benign (203),0.9110895991325378,0.95347660779953
malignant (99),0.46352267265319824,0.6334342360496521
malignant (145),0.800000011920929,0.8888888955116272
benign (196),0.7142257690429688,0.833292543888092
benign (20),0.8884323835372925,0.9409205317497253
malignant (195),0.8518993258476257,0.9200276732444763
benign (186),0.9397136569023132,0.9689199924468994
benign (139),0.9155749678611755,0.9559270739555359
benign (107),0.8875501751899719,0.9404255151748657
benign (210),0.00821767933666706,0.016301395371556282
benign (252),0.9123602509498596,0.9541719555854797
malignant (125),0.7141560912132263,0.8332450985908508
benign (268),0.8928514122962952,0.9433930516242981
benign (88),0.5023745894432068,0.6687740683555603
malignant (190),0.8838033676147461,0.9383180737495422
benign (67),0.7951651215553284,0.8858963251113892
benign (51),0.7996742725372314,0.888687789440155
benign (171),0.8635097742080688,0.9267563819885254
benign (155),0.8806777596473694,0.9365535974502563
malignant (138),0.562764585018158,0.720216691493988
malignant (52),0.7337855100631714,0.8464547395706177
benign (256),0.39050424098968506,0.5616728663444519
benign (261),0.9323380589485168,0.9649844169616699
benign (300),0.8818383812904358,0.9372094869613647
benign (208),0.8659924268722534,0.9281842708587646
benign (258),0.9219036102294922,0.9593650698661804
benign (31),0.9047619104385376,0.949999988079071
malignant (132),0.9094678163528442,0.9525877237319946
benign (329),0.8372092843055725,0.9113923907279968
malignant (143),0.7128969430923462,0.8323874473571777
benign (206),0.8238608241081238,0.9034250974655151
benign (133),0.7531847357749939,0.8592188954353333
benign (86),0.7690631747245789,0.8694581389427185
malignant (46),0.7022744417190552,0.8251013159751892
benign (13),0.9564260840415955,0.9777277708053589
benign (321),0.2490566223859787,0.3987915515899658
benign (28),0.8868529796600342,0.9400339722633362
benign (336),0.6501836776733398,0.7880136966705322
benign (65),0.9188806414604187,0.9577257037162781
benign (136),0.8779432773590088,0.9350051283836365
malignant (100),0.61282879114151,0.7599427700042725
benign (232),0.9199634194374084,0.958313524723053
malignant (184),0.7331158518791199,0.8460090756416321
malignant (33),0.5957781076431274,0.7466928958892822
benign (227),0.8857770562171936,0.9394292235374451
benign (361),0.8328831791877747,0.9088230133056641
benign (433),0.8285101652145386,0.9062133431434631
benign (417),0.8630009293556213,0.92646324634552
malignant (9),0.862165629863739,0.9259816408157349
benign (109),0.8296689391136169,0.9069060683250427
