case,iou,dice
malignant (162),0.8803627490997314,0.9363754391670227
malignant (65),0.7155424952507019,0.8341880440711975
benign (191),0.8285458087921143,0.9062346816062927
malignant (144),0.8369609117507935,0.9112451672554016
benign (435),0.869300901889801,0.930081307888031
malignant (25),0.7583399415016174,0.8625634908676147
malignant (187),0.4833623468875885,0.6517117619514465
malignant (152),0.12167273461818695,0.2169487327337265
benign (101),0.9053803086280823,0.9503408074378967
malignant (167),0.8949216604232788,0.9445474147796631
malignant (5),0.63648521900177,0.7778685688972473
benign (225),0.8646143674850464,0.9273921251296997
benign (47),0.7737430334091187,0.8724409341812134
malignant (47),0.8054247498512268,0.8922274708747864
malignant (34),0.7915988564491272,0.883678674697876
benign (365),0.893607497215271,0.9438149333000183
benign (221),0.8040345907211304,0.8913738131523132
benign (69),0.7897436022758484,0.8825215101242065
malignant (54),0.871832013130188,0.9315280318260193
benign (110),0.9066314101219177,0.9510295391082764
benign (75),0.9240400791168213,0.9605206251144409
malignant (137),0.5637200474739075,0.7209986448287964
benign (290),0.9124659895896912,0.9542297720909119
benign (96),0.8765309453010559,0.934203565120697
benign (383),0.737205445766449,0.8487256765365601
malignant (117),0.530263364315033,0.6930354237556458
benign (349),0.6569966077804565,0.792996883392334
benign (219),0.2794244587421417,0.4367971122264862
malignant (197),0.5014767646789551,0.667978048324585
benign (291),0.8612945675849915,0.9254790544509888
benign (59),0.8401129841804504,0.9131101965904236
malignant (114),0.8402878642082214,0.9132134914398193
benign (14),0.7323135733604431,0.8454746007919312
benign (412),0.7520395517349243,0.8584733009338379
benign (100),0.8701857924461365,0.9305875301361084
benign (203),0.8991342782974243,0.9468885660171509
malignant (99),0.4434850811958313,0.6144644021987915
malignant (145),0.8141025900840759,0.8975265026092529
benign (196),0.18066491186618805,0.3060392737388611
benign (20),0.8906844258308411,0.9421820044517517
malignant (195),0.7848808765411377,0.8794770240783691
benign (186),0.9396681785583496,0.9688957929611206
benign (139),0.9176084399223328,0.9570342302322388
benign (107),0.9014745354652405,0.9481847286224365
benign (210),0.013449098914861679,0.026541242375969887
benign (252),0.9035563468933105,0.9493350386619568
malignant (125),0.6831263303756714,0.8117350339889526
benign (268),0.8703644871711731,0.9306896924972534
benign (88),0.7562814354896545,0.8612303137779236
malignant (190),0.845196545124054,0.9161046147346497
benign (67),0.8158635497093201,0.8985956907272339
benign (51),0.8078175783157349,0.8936936855316162
benign (171),0.8571428656578064,0.9230769276618958
benign (155),0.8918946981430054,0.9428586959838867
malignant (138),0.7933825254440308,0.8847889304161072
malignant (52),0.760016918182373,0.8636472821235657
benign (256),0.4709520637989044,0.6403363943099976
benign (261),0.9271547198295593,0.9622005820274353
benign (300),0.8935914635658264,0.943805992603302
benign (208),0.8520859479904175,0.9201365113258362
benign (258),0.9198286533355713,0.9582403302192688
benign (31),0.9049773812294006,0.9501187801361084
malignant (132),0.8958514928817749,0.9450650811195374
benign (329),0.8556485176086426,0.9222096800804138
malignant (143),0.713683545589447,0.8329233527183533
benign (206),0.8397611379623413,0.9129023551940918
benign (133),0.7615262269973755,0.8646209239959717
benign (86),0.7560439705848694,0.8610763549804688
malignant (46),0.6933771371841431,0.8189281821250916
benign (13),0.9569951891899109,0.9780250787734985
benign (321),0.25158029794692993,0.4020202159881592
benign (28),0.8695850372314453,0.9302439093589783
benign (336),0.617977499961853,0.7638888955116272
benign (65),0.9170507192611694,0.9567307829856873
benign (136),0.8790052533149719,0.9356070160865784
malignant (100),0.6208029985427856,0.7660437226295471
benign (232),0.9269699454307556,0.9621011018753052
malignant (184),0.738572895526886,0.8496312499046326
malignant (33),0.5934910178184509,0.7448940873146057
benign (227),0.8781670928001404,0.9351320266723633
benign (361),0.858464241027832,0.9238426089286804
benign (433),0.8194154500961304,0.9007458686828613
benign (417),0.8209086656570435,0.9016472697257996
malignant (9),0.8786395192146301,0.9353998303413391
benign (109),0.6956291794776917,0.8204967975616455
benign (70),0.8772664070129395,0.9346210956573486
benign (162),0.8830409646034241,0.9378882050514221
benign (323),0.912519633769989,0.9542590975761414
malignant (159),0.551815927028656,0.7111873626708984
benign (354),0.869846522808075,0.9303935170173645
benign (125),0.9156785011291504,0.9559835195541382
benign (199),0.06551723927259445,0.1229773461818695
benign (347),0.829084038734436,0.9065565466880798
benign (68),0.9535316228866577,0.9762131571769714
benign (255),0.7496892213821411,0.8569398522377014
benign (53),0.8925811648368835,0.9432421326637268
benign (185),0.7950819730758667,0.8858447670936584
benign (386),0.9187387824058533,0.9576486349105835
malignant (60),0.12177155911922455,0.21710580587387085
benign (135),0.868405818939209,0.9295687079429626
benign (113),0.9351087808609009,0.9664663672447205
benign (21),0.8512241244316101,0.9196337461471558
malignant (38),0.8234530687332153,0.9031798839569092
benign (167),0.8769670724868774,0.9344512224197388
malignant (160),0.6376959085464478,0.7787720561027527
malignant (18),0.07364211976528168,0.13718187808990479
benign (126),0.8048220276832581,0.8918575048446655
malignant (89),0.6799924969673157,0.8095185160636902
benign (262),0.570562481880188,0.7265709042549133
benign (17),0.9058465957641602,0.9505975842475891
malignant (4),0.6487991809844971,0.7869960069656372
benign (180),0.9279015064239502,0.9626026153564453
benign (172),0.7384435534477234,0.8495455980300903
benign (223),0.33246922492980957,0.4990272521972656
benign (355),0.9535931348800659,0.9762454032897949
benign (391),0.20029805600643158,0.3337472081184387
benign (393),0.791528046131134,0.8836345672607422
benign (34),0.9293568134307861,0.9633851051330566
benign (281),0.9002680778503418,0.947516918182373
benign (189),0.9263502359390259,0.9617671966552734
benign (319),0.9134988188743591,0.9547942280769348
malignant (201),0.8127965331077576,0.8967322111129761
benign (41),0.6503263115882874,0.7881184816360474
benign (379),0.6858546733856201,0.8136581182479858
benign (163),0.4495021402835846,0.620215892791748
benign (81),0.827245831489563,0.9054564833641052
benign (91),0.7819383144378662,0.8776267170906067
malignant (141),0.8070801496505737,0.8932422399520874
benign (414),4.960071242621211e-10,4.960071242621211e-10
malignant (148),0.08720363676548004,0.16041822731494904
