case,iou,dice
benign (100),0.8715803623199463,0.9313843846321106
benign (203),0.9062327742576599,0.9508101940155029
malignant (99),0.45965003967285156,0.6298085451126099
malignant (145),0.8097876310348511,0.8948979377746582
benign (196),0.6637744307518005,0.7979139685630798
benign (20),0.8945524096488953,0.9443416595458984
malignant (195),0.8023512363433838,0.8903383612632751
benign (186),0.937664270401001,0.9678294658660889
benign (139),0.9179431200027466,0.957216203212738
benign (107),0.8973842859268188,0.9459173083305359
benign (210),0.00926076527684927,0.01835157908499241
benign (252),0.9051932096481323,0.9502376914024353
malignant (125),0.6967585682868958,0.821281909942627
benign (268),0.8887283205986023,0.94108647108078
benign (88),0.6492537260055542,0.7873303294181824
malignant (190),0.8671934604644775,0.9288737177848816
benign (67),0.8076027631759644,0.8935622572898865
benign (51),0.8061889410018921,0.8926961421966553
benign (171),0.8476454019546509,0.9175412058830261
benign (155),0.8964906930923462,0.9454206228256226
malignant (138),0.6711249947547913,0.80320143699646
malignant (52),0.6932205557823181,0.818818986415863
benign (256),0.41730228066444397,0.5888684391975403
benign (261),0.9311384558677673,0.9643414616584778
benign (300),0.887265145778656,0.9402654767036438
benign (208),0.8672566413879395,0.928909957408905
benign (258),0.9219512343406677,0.9593908786773682
benign (31),0.9070294499397278,0.9512485265731812
malignant (132),0.9018055200576782,0.9483677744865417
benign (329),0.8445377945899963,0.9157175421714783
malignant (143),0.7120181322097778,0.8317880630493164
benign (206),0.8289376497268677,0.9064689874649048
benign (133),0.756369411945343,0.8612874150276184
benign (86),0.7648351788520813,0.8667497038841248
malignant (46),0.6948152184486389,0.8199303150177002
benign (13),0.9562968015670776,0.9776602387428284
benign (321),0.2490566223859787,0.3987915515899658
benign (28),0.881627082824707,0.9370900988578796
benign (336),0.6233407258987427,0.7679727673530579
benign (65),0.9188518524169922,0.9577100872993469
benign (136),0.8781189918518066,0.9351047277450562
malignant (100),0.6778165102005005,0.8079745173454285
benign (232),0.9228552579879761,0.9598801136016846
malignant (184),0.7459695935249329,0.8545046448707581
malignant (33),0.5933147668838501,0.7447552680969238
benign (227),0.8874316811561584,0.9403589963912964
benign (361),0.7777079343795776,0.8749557733535767
benign (433),0.8299680948257446,0.9070847630500793
benign (417),0.8611884713172913,0.9254177808761597
malignant (9),0.8774600028991699,0.9347309470176697
benign (109),0.6997975707054138,0.8233892917633057
benign (70),0.8743016719818115,0.932935893535614
benign (162),0.8724637627601624,0.9318885207176208
benign (323),0.9085239171981812,0.9520696997642517
malignant (159),0.5762895941734314,0.7311975955963135
benign (354),0.8630116581916809,0.9264693856239319
benign (125),0.920844316482544,0.958791196346283
benign (199),0.06814450025558472,0.12759415805339813
benign (347),0.8245778679847717,0.9038560390472412
benign (68),0.9520588517189026,0.9754407405853271
benign (255),0.7436884045600891,0.8530060648918152
benign (53),0.8874325156211853,0.9403594732284546
benign (185),0.8428290486335754,0.914712131023407
benign (386),0.9107692241668701,0.9533011317253113
malignant (60),0.4720908999443054,0.6413882374763489
benign (135),0.8631397485733032,0.9265432357788086
benign (113),0.9323111176490784,0.9649699926376343
benign (21),0.8533333539962769,0.9208633303642273
malignant (38),0.73827064037323,0.8494311571121216
benign (167),0.8780487775802612,0.9350649118423462
malignant (160),0.6480082869529724,0.786413848400116
malignant (18),0.08282828330993652,0.152985081076622
benign (126),0.8112773299217224,0.8958068490028381
malignant (89),0.4053654074668884,0.5768826007843018
benign (262),0.6703406572341919,0.8026394844055176
benign (17),0.9009826183319092,0.9479125142097473
malignant (4),0.6427958011627197,0.7825632691383362
benign (180),0.9262726902961731,0.9617254137992859
benign (172),0.7613168954849243,0.8644859790802002
benign (223),0.6158370971679688,0.7622514963150024
benign (355),0.9496954679489136,0.9741987586021423
benign (391),0.43612292408943176,0.6073615550994873
benign (393),0.792708158493042,0.884369432926178
benign (34),0.9262609481811523,0.9617190957069397
benign (281),0.8722676038742065,0.9317766427993774
benign (189),0.9308072328567505,0.9641638398170471
benign (319),0.9194734692573547,0.95804762840271
malignant (201),0.8016529083251953,0.8899082541465759
benign (41),0.660443902015686,0.7955028414726257
benign (379),0.7526964545249939,0.8589010834693909
benign (163),0.4527503550052643,0.6233009696006775
benign (81),0.8047571778297424,0.8918176889419556
benign (91),0.788418710231781,0.8816936612129211
malignant (141),0.8019613027572632,0.8900982737541199
benign (414),4.960121077601798e-05,9.9197008239571e-05
malignant (148),0.3469387888908386,0.5151515007019043
