case,iou,dice
malignant (99),0.4731491208076477,0.6423642039299011
malignant (145),0.8070175647735596,0.893203854560852
benign (196),0.7540633082389832,0.8597902655601501
benign (20),0.8851117491722107,0.9390549063682556
malignant (195),0.8630563020706177,0.9264951348304749
benign (186),0.9373824596405029,0.9676793217658997
benign (139),0.915549099445343,0.9559129476547241
benign (107),0.8842315077781677,0.9385592937469482
benign (210),0.11346469819545746,0.20380474627017975
benign (252),0.9151772260665894,0.955710232257843
malignant (125),0.7236166000366211,0.8396491408348083
benign (268),0.8945437073707581,0.9443368315696716
benign (88),0.48525407910346985,0.6534290313720703
malignant (190),0.8890779614448547,0.9412824511528015
benign (67),0.6402168273925781,0.7806490659713745
benign (51),0.8058727383613586,0.8925022482872009
benign (171),0.851123571395874,0.9195750951766968
benign (155),0.8693153262138367,0.93008953332901
malignant (138),0.5312522649765015,0.6938794851303101
malignant (52),0.7339831590652466,0.846586287021637
benign (256),0.37934714555740356,0.5500386953353882
benign (261),0.9360212683677673,0.966953456401825
benign (300),0.8810722827911377,0.9367766380310059
benign (208),0.8696202635765076,0.9302640557289124
benign (258),0.9165658950805664,0.9564668536186218
benign (31),0.9204545617103577,0.9585798978805542
malignant (132),0.91395103931427,0.9550411701202393
benign (329),0.8466386795043945,0.916951060295105
malignant (143),0.7123864889144897,0.8320394158363342
benign (206),0.8185130953788757,0.9002004265785217
benign (133),0.7547770738601685,0.8602541089057922
benign (86),0.789130449295044,0.8821384906768799
malignant (46),0.7003802061080933,0.8237924575805664
benign (13),0.9544904828071594,0.9767153859138489
benign (321),0.2481296956539154,0.3976024091243744
benign (28),0.8837528824806213,0.9382895827293396
benign (336),0.6926166415214539,0.8183975219726562
benign (65),0.9184321761131287,0.9574820399284363
benign (136),0.8833973407745361,0.9380891919136047
malignant (100),0.6033057570457458,0.7525773048400879
benign (232),0.9205479621887207,0.9586305022239685
malignant (184),0.7277068495750427,0.8423961997032166
malignant (33),0.588239312171936,0.7407439351081848
benign (227),0.8899782299995422,0.9417867660522461
benign (361),0.8743353486061096,0.9329550862312317
benign (433),0.8287234306335449,0.9063408970832825
benign (417),0.8649789094924927,0.9276018142700195
malignant (9),0.8600255250930786,0.9247459769248962
benign (109),0.8775730133056641,0.934795081615448
benign (70),0.8690807819366455,0.9299553036689758
benign (162),0.8467966318130493,0.9170437455177307
benign (323),0.9097978472709656,0.9527687430381775
malignant (159),0.6433796286582947,0.7829957604408264
benign (354),0.8436952829360962,0.9152220487594604
benign (125),0.9213630557060242,0.9590722918510437
benign (199),0.06083744019269943,0.11469700187444687
benign (347),0.8311320543289185,0.9077795147895813
benign (68),0.9510930180549622,0.9749335646629333
benign (255),0.7672083973884583,0.8682715892791748
benign (53),0.8838461637496948,0.9383421540260315
benign (185),0.8407257795333862,0.913472056388855
benign (386),0.9085568189620972,0.9520878195762634
malignant (60),0.5809026956558228,0.7348999977111816
benign (135),0.8557047247886658,0.9222423434257507
benign (113),0.931163489818573,0.9643548727035522
benign (21),0.8670520186424255,0.9287925958633423
malignant (38),0.7950956225395203,0.8858532309532166
benign (167),0.871612012386322,0.9314024448394775
malignant (160),0.5555902719497681,0.7143144011497498
malignant (18),0.128900945186615,0.22836539149284363
benign (126),0.817241370677948,0.8994307518005371
malignant (89),0.2760963439941406,0.43272024393081665
benign (262),0.7650459408760071,0.8668850064277649
benign (17),0.9000756740570068,0.9474103450775146
malignant (4),0.6772505044937134,0.8075723052024841
benign (180),0.9126662611961365,0.9543392658233643
benign (172),0.8025851845741272,0.8904824256896973
benign (223),0.7360672950744629,0.8479709029197693
benign (355),0.9495161771774292,0.9741044640541077
benign (391),0.4397425055503845,0.6108627319335938
benign (393),0.7915349006652832,0.8836387991905212
benign (34),0.9260071516036987,0.9615822434425354
benign (281),0.8944353461265564,0.9442764520645142
benign (189),0.9324547052383423,0.9650468826293945
benign (319),0.9173778295516968,0.9569087624549866
malignant (201),0.7616414427757263,0.8646951913833618
benign (41),0.5672506093978882,0.723879873752594
benign (379),0.6738004684448242,0.8051144480705261
benign (163),0.44841817021369934,0.6191833019256592
benign (81),0.7970296740531921,0.8870523571968079
benign (91),0.7893570065498352,0.8822800517082214
malignant (141),0.8237232565879822,0.9033423662185669
benign (414),0.03992857411503792,0.07679099589586258
malignant (148),0.3214285671710968,0.4864864945411682
