case,iou,dice
malignant (117),0.7467687129974365,0.8550287485122681
benign (349),0.9249800443649292,0.9610282182693481
benign (219),0.5470085740089417,0.7071823477745056
malignant (197),0.43210214376449585,0.6034515500068665
benign (291),0.8804205060005188,0.9364081025123596
benign (59),0.8512649536132812,0.9196575880050659
malignant (114),0.8539962768554688,0.9212491512298584
benign (14),0.7048579454421997,0.8268817067146301
benign (412),0.8787223100662231,0.9354466795921326
benign (100),0.8663198351860046,0.928372323513031
benign (203),0.9333140850067139,0.9655069708824158
malignant (99),0.7023661136627197,0.8251646161079407
malignant (145),0.8086710572242737,0.8942157626152039
benign (196),0.7891011834144592,0.8821202516555786
benign (20),0.9187232851982117,0.9576401710510254
malignant (195),0.8322741985321045,0.9084603190422058
benign (186),0.9424282908439636,0.9703609347343445
benign (139),0.9304056763648987,0.9639483094215393
benign (107),0.8840000033378601,0.9384288787841797
benign (210),0.5108388066291809,0.6762320399284363
benign (252),0.9308056831359863,0.9641630053520203
malignant (125),0.7258501648902893,0.8411508202552795
benign (268),0.8935361504554749,0.9437751173973083
benign (88),0.7405599355697632,0.850944459438324
malignant (190),0.841089129447937,0.9136864542961121
benign (67),0.829578697681427,0.906852126121521
benign (51),0.8112903237342834,0.8958147764205933
benign (171),0.8410404920578003,0.9136577844619751
benign (155),0.922602653503418,0.9597434401512146
malignant (138),0.477212131023407,0.6460983157157898
malignant (52),0.5678276419639587,0.7243495583534241
benign (256),0.3303668797016144,0.49665531516075134
benign (261),0.9264776706695557,0.9618358612060547
benign (300),0.8839869499206543,0.9384214878082275
benign (208),0.8860759735107422,0.9395973086357117
benign (258),0.8996978998184204,0.9472010135650635
benign (31),0.9050925970077515,0.9501822590827942
malignant (132),0.8972337245941162,0.9458336234092712
benign (329),0.8568548560142517,0.9229098558425903
malignant (143),0.6720831990242004,0.8038872480392456
benign (206),0.8982910513877869,0.9464207887649536
benign (133),0.7914012670516968,0.88355553150177
benign (86),0.7918367385864258,0.8838268518447876
malignant (46),0.7561636567115784,0.8611539602279663
benign (13),0.9567921757698059,0.9779190421104431
benign (321),0.2576769292354584,0.40976646542549133
benign (28),0.9128397107124329,0.9544340968132019
benign (336),0.7183994054794312,0.8361262083053589
benign (65),0.8998574614524841,0.9472894668579102
benign (136),0.8755447864532471,0.9336431622505188
malignant (100),0.7583754062652588,0.8625864386558533
benign (232),0.93436598777771,0.9660694599151611
malignant (184),0.7243330478668213,0.8401312828063965
malignant (33),0.7861776947975159,0.8802905678749084
benign (227),0.8780617713928223,0.9350723028182983
benign (361),0.8243870139122009,0.9037413597106934
benign (433),0.9277523159980774,0.9625223278999329
benign (417),0.9252431988716125,0.9611701965332031
malignant (9),0.8243801593780518,0.9037372469902039
benign (109),0.8812307119369507,0.9368661642074585
benign (70),0.849862277507782,0.9188384413719177
benign (162),0.8840579986572266,0.9384615421295166
benign (323),0.9214686155319214,0.9591295123100281
malignant (159),0.7905703186988831,0.8830374479293823
benign (354),0.894916832447052,0.9445447325706482
benign (125),0.8293333053588867,0.9067055583000183
benign (199),0.05394088849425316,0.10236036777496338
benign (347),0.825161874294281,0.9042068123817444
benign (68),0.9536194801330566,0.976259171962738
benign (255),0.8625134229660034,0.926182210445404
benign (53),0.8803936243057251,0.9363929033279419
benign (185),0.7793522477149963,0.8759954571723938
benign (386),0.9175682663917542,0.9570123553276062
malignant (60),0.7127910256385803,0.83231520652771
benign (135),0.8424887657165527,0.9145117402076721
benign (113),0.9317923188209534,0.9646920561790466
benign (21),0.8728323578834534,0.9320987462997437
malignant (38),0.7210632562637329,0.8379276394844055
benign (167),0.8639551401138306,0.9270128011703491
malignant (160),0.7230873703956604,0.8392927646636963
malignant (18),0.1293954998254776,0.22914116084575653
benign (126),0.8085846900939941,0.8941629528999329
malignant (89),0.8580691814422607,0.9236137866973877
benign (262),0.9155676364898682,0.9559230804443359
benign (17),0.8975903391838074,0.9460317492485046
malignant (4),0.749747097492218,0.8569777011871338
benign (180),0.8877790570259094,0.9405540227890015
benign (172),0.6253458857536316,0.7694926857948303
benign (223),0.7862595319747925,0.8803418874740601
benign (355),0.9517423510551453,0.9752745628356934
benign (391),0.6204721927642822,0.7657918334007263
benign (393),0.8006047010421753,0.8892620205879211
benign (34),0.9116531014442444,0.9537850618362427
benign (281),0.9198113083839417,0.9582309722900391
benign (189),0.9305785298347473,0.9640411138534546
benign (319),0.893094003200531,0.943528413772583
malignant (201),0.7343173623085022,0.8468084931373596
benign (41),0.8830592036247253,0.9378985166549683
benign (379),0.7415506839752197,0.8515982031822205
benign (163),0.3146176040172577,0.47864505648612976
benign (81),0.8849902749061584,0.9389865398406982
benign (91),0.7906504273414612,0.8830873966217041
malignant (141),0.8161264061927795,0.8987550735473633
benign (414),0.0018837065435945988,0.003760328982025385
malignant (148),0.7032085657119751,0.825745701789856
